r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,formula
0.737823476420181,0.736503352937906,1.34885493017743,558.904895130462,1.13787988440936e-285,5,-1713.46732605114,3440.93465210228,3475.28193555282,1806.67375530531,993,999,total_cup_points ~ species_robusta + aroma + flavor + aftertaste + acidity
0.738222614708869,0.736373531260799,1.34918717168362,399.237046591476,2.99551814199046e-283,7,-1712.70630638743,3443.41261277486,3487.57340578269,1803.92327001752,991,999,total_cup_points ~ species_robusta + processing_method_washed_wet + quakers + aroma + flavor + aftertaste + body
0.763054279639339,0.761139566747535,1.2842506815372,398.521513541738,2.57388148546383e-303,8,-1662.9244474622,3345.84889492439,3394.91644271088,1632.80681489847,990,999,total_cup_points ~ species_robusta + processing_method_pulped_natural_honey + processing_method_washed_wet + moisture + aroma + flavor + aftertaste + balance
0.849691358961108,0.848934517868263,1.02131642781711,1122.6813223999,0,5,-1435.58186769125,2885.16373538251,2919.51101883305,1035.78563500899,993,999,total_cup_points ~ species_robusta + aroma + flavor + aftertaste + uniformity
0.856029354806036,0.855158564613331,1.00005551005918,983.048915774386,0,6,-1414.06272783534,2844.12545567068,2883.37949389987,992.110135014119,992,999,total_cup_points ~ species_robusta + moisture + aroma + flavor + aftertaste + sweetness
0.897352034693503,0.896626973384577,0.844853316032164,1237.62228606977,0,7,-1245.07982770352,2508.15965540703,2552.32044841487,707.353131480049,991,999,total_cup_points ~ species_robusta + processing_method_other + moisture + aroma + flavor + aftertaste + clean_cup
0.754616310043119,0.752883024644836,1.30625807103617,435.367603506479,3.83201592302092e-297,7,-1680.40294151442,3378.80588302884,3422.96667603667,1690.95335681382,991,999,total_cup_points ~ species_robusta + processing_method_washed_wet + quakers + aroma + flavor + aftertaste + cupper_points
0.709067281088008,0.707012256837368,1.42233672339216,345.040833881782,1.4344722220986e-260,7,-1765.45229051918,3548.90458103836,3593.0653740462,2004.83437891757,991,999,total_cup_points ~ species_robusta + processing_method_pulped_natural_honey + color_none + aroma + flavor + acidity + body
0.748682287845764,0.746651437646538,1.32262558387904,368.654609843232,1.10949194298707e-290,8,-1692.33842268638,3404.67684537276,3453.74439315924,1731.84505078006,990,999,total_cup_points ~ species_robusta + processing_method_pulped_natural_honey + processing_method_washed_wet + color_none + aroma + flavor + acidity + balance
0.830396592619576,0.82919858671477,1.08598400053351,693.148998087695,0,7,-1495.90749507488,3009.81499014977,3053.97578315761,1168.74699817003,991,999,total_cup_points ~ species_robusta + color_bluish_green + moisture + aroma + flavor + acidity + uniformity
0.836916350895252,0.835432273198647,1.06598239467605,563.930279937213,0,9,-1476.32731486577,2974.65462973153,3028.62893229667,1123.81896263594,989,999,total_cup_points ~ species_robusta + processing_method_pulped_natural_honey + color_green + color_none + moisture + aroma + flavor + acidity + sweetness
0.890028625336817,0.889139967763781,0.874913660160766,1001.54283533117,0,8,-1279.50276030575,2579.0055206115,2628.07306839798,757.819173608549,990,999,total_cup_points ~ species_robusta + processing_method_pulped_natural_honey + color_bluish_green + moisture + aroma + flavor + acidity + clean_cup
0.73617994397882,0.73431643197867,1.35444085278052,395.049746886372,1.39998228790664e-281,7,-1716.58881831168,3451.17763662337,3495.3384296312,1817.9994334677,991,999,total_cup_points ~ species_robusta + processing_method_pulped_natural_honey + processing_method_washed_wet + aroma + flavor + acidity + cupper_points
0.746075770212834,0.744023857244857,1.32946663422794,363.60010480774,1.81430571834468e-288,8,-1697.49225889895,3414.9845177979,3464.05206558439,1749.80671621012,990,999,total_cup_points ~ species_robusta + processing_method_pulped_natural_honey + processing_method_washed_wet + color_none + aroma + flavor + body + balance
0.838397508537388,0.837420074113219,1.05952487578607,857.753203495121,0,6,-1471.77003149627,2959.54006299253,2998.79410122172,1113.61221871021,992,999,total_cup_points ~ species_robusta + color_none + aroma + flavor + body + uniformity
0.839039254402675,0.837738561508959,1.0584865841919,645.070991358881,0,8,-1469.78249884643,2959.56499769286,3008.63254547934,1109.18991042509,990,999,total_cup_points ~ species_robusta + color_green + color_none + moisture + aroma + flavor + body + sweetness
0.895071702375687,0.894116844257771,0.855049259651174,937.387121271273,0,9,-1256.05479950226,2534.10959900453,2588.08390156966,723.067034829291,989,999,total_cup_points ~ species_robusta + processing_method_pulped_natural_honey + processing_method_washed_wet + color_bluish_green + moisture + aroma + flavor + body + clean_cup
0.737409056641273,0.735554226567095,1.35128206351316,397.561516230964,1.39002521659672e-282,7,-1714.25625728503,3446.51251457005,3490.67330757789,1809.52954623582,991,999,total_cup_points ~ species_robusta + processing_method_pulped_natural_honey + processing_method_washed_wet + aroma + flavor + body + cupper_points
0.858165148831298,0.857163288126776,0.993110603877969,856.571322698072,0,7,-1406.59716829518,2831.19433659036,2875.35512959819,977.392253491051,991,999,total_cup_points ~ species_robusta + processing_method_pulped_natural_honey + color_none + aroma + flavor + balance + uniformity
0.868612752833715,0.867551037705099,0.956317222296903,818.122233942013,0,8,-1368.37826894241,2756.75653788483,2805.82408567131,905.397203365047,990,999,total_cup_points ~ species_robusta + processing_method_pulped_natural_honey + color_green + color_none + aroma + flavor + balance + sweetness
0.910926329447916,0.910206542211132,0.787408402588501,1265.54943307591,0,8,-1174.22998083779,2368.45996167558,2417.52750946207,613.811872542305,990,999,total_cup_points ~ species_robusta + processing_method_other + processing_method_pulped_natural_honey + processing_method_washed_wet + aroma + flavor + balance + clean_cup
0.765213595173315,0.763077015149614,1.27903165994511,358.148811036739,5.79146090716539e-304,9,-1658.35157406736,3338.70314813472,3392.67745069985,1617.92684528338,989,999,total_cup_points ~ species_robusta + processing_method_pulped_natural_honey + processing_method_washed_wet + color_none + moisture + aroma + flavor + balance + cupper_points
0.879861678658043,0.878768407786377,0.914925225113144,804.797513096911,0,9,-1323.6703760865,2669.340752173,2723.31505473813,827.880197705306,989,999,total_cup_points ~ species_robusta + processing_method_pulped_natural_honey + color_green + color_none + moisture + aroma + flavor + uniformity + sweetness
0.913745753651116,0.912960831287982,0.775238021106701,1164.12246174546,0,9,-1158.16381378177,2338.32762756353,2392.30193012867,594.383055486371,989,999,total_cup_points ~ species_robusta + processing_method_other + processing_method_pulped_natural_honey + color_bluish_green + moisture + aroma + flavor + uniformity + clean_cup
0.853980710909884,0.8532454677624,1.00663831877942,1161.49428095101,0,5,-1421.12031521418,2856.24063042836,2890.5879138789,1006.22745990122,993,999,total_cup_points ~ species_robusta + aroma + flavor + uniformity + cupper_points
0.90553401062745,0.904770649097167,0.810892174115399,1186.24527789797,0,8,-1203.58863407627,2427.17726815254,2476.24481593902,650.970656861182,990,999,total_cup_points ~ processing_method_other + processing_method_pulped_natural_honey + color_bluish_green + moisture + aroma + flavor + sweetness + clean_cup
0.858972793164243,0.857976637313738,0.990279052887283,862.287555435147,0,7,-1403.74475716979,2825.48951433958,2869.65030734742,971.826729164049,991,999,total_cup_points ~ species_robusta + color_green + color_none + aroma + flavor + sweetness + cupper_points
0.900304179409118,0.899498556616465,0.833036146772908,1117.52570510532,0,8,-1230.50363580166,2481.00727160332,2530.07481938981,687.009729611952,990,999,total_cup_points ~ species_robusta + processing_method_pulped_natural_honey + processing_method_washed_wet + color_bluish_green + aroma + flavor + clean_cup + cupper_points
0.726540664807866,0.724886676893397,1.3782674776074,439.266005786573,3.269935561639e-275,6,-1734.51370698703,3485.02741397407,3524.28145220326,1884.42426991162,992,999,total_cup_points ~ species_robusta + color_green + aroma + aftertaste + acidity + body
0.752098565548582,0.750095321633823,1.3136052946211,375.440334553114,1.28449148466859e-293,8,-1685.50191666583,3391.00383333166,3440.07138111814,1708.30328135601,990,999,total_cup_points ~ species_robusta + color_green + moisture + quakers + aroma + aftertaste + acidity + balance
0.845308896481926,0.844529988609226,1.03609842187182,1085.24888001523,0,5,-1449.93722841763,2913.87445683525,2948.22174028579,1065.98544022663,993,999,total_cup_points ~ species_robusta + aroma + aftertaste + acidity + uniformity
0.856244939323618,0.855229515080697,0.999810541839236,843.238621977893,0,7,-1413.31420600023,2844.62841200045,2888.78920500829,990.624529496712,991,999,total_cup_points ~ species_robusta + processing_method_washed_wet + moisture + aroma + aftertaste + acidity + sweetness
0.898372596314003,0.897654743815716,0.840642912436544,1251.47241036052,0,7,-1240.08877299803,2498.17754599606,2542.3383390039,700.320381673726,991,999,total_cup_points ~ species_robusta + processing_method_other + moisture + aroma + aftertaste + acidity + clean_cup
0.747736207609526,0.745954324111309,1.32444400116501,419.632489081142,3.34257964584076e-291,7,-1694.21524949482,3406.43049898963,3450.59129199747,1738.36454501199,991,999,total_cup_points ~ species_robusta + color_green + quakers + aroma + aftertaste + acidity + cupper_points
0.745210002040081,0.74289138729626,1.33240425069728,321.403115384276,1.91445328707114e-286,9,-1699.19243395291,3420.38486790582,3474.35917047096,1755.77277531615,989,999,total_cup_points ~ species_robusta + processing_method_washed_wet + color_green + moisture + quakers + aroma + aftertaste + body + balance
0.845218191089472,0.844438826492743,1.03640214309198,1084.49651759401,0,5,-1450.23003171645,2914.4600634329,2948.80734688344,1066.61049639022,993,999,total_cup_points ~ species_robusta + aroma + aftertaste + body + uniformity
0.849129572591171,0.848369902765346,1.02322325941414,1117.76135332097,0,5,-1437.44529477917,2888.89058955834,2923.23787300888,1039.65693773585,993,999,total_cup_points ~ species_robusta + aroma + aftertaste + body + sweetness
0.894703082063852,0.893959309686907,0.855685100887533,1202.92593513373,0,7,-1257.80650216053,2533.61300432106,2577.7737973289,725.607218953979,991,999,total_cup_points ~ species_robusta + processing_method_other + color_green + aroma + aftertaste + body + clean_cup
0.744988096174337,0.7426674620647,1.33298434405277,321.027814372201,2.9413925438663e-286,9,-1699.62727731678,3421.25455463356,3475.22885719869,1757.3019416134,989,999,total_cup_points ~ species_robusta + processing_method_washed_wet + color_green + moisture + quakers + aroma + aftertaste + body + cupper_points
0.855558407607424,0.854831108552073,1.00118532957111,1176.35022528017,0,5,-1415.69399242211,2845.38798484422,2879.73526829476,995.355459699377,993,999,total_cup_points ~ species_robusta + aroma + aftertaste + balance + uniformity
0.86747072665889,0.866803409069056,0.959012464395632,1299.93685146854,0,5,-1372.7011937351,2759.40238747021,2793.74967092075,913.26697251812,993,999,total_cup_points ~ species_robusta + aroma + aftertaste + balance + sweetness
0.903396358923476,0.902713992134843,0.819601771183319,1323.91607266348,0,7,-1214.76572775002,2447.53145550005,2491.69224850788,665.701339756892,991,999,total_cup_points ~ species_robusta + processing_method_other + color_green + aroma + aftertaste + balance + clean_cup
0.764027228450219,0.761879852369382,1.28225903715652,355.795724497561,6.96418921158798e-303,9,-1660.86917313897,3343.73834627794,3397.71264884308,1626.10216774749,989,999,total_cup_points ~ species_robusta + processing_method_washed_wet + color_green + moisture + quakers + aroma + aftertaste + balance + cupper_points
0.889799714531127,0.888909207173802,0.875823774625112,999.205348740488,0,8,-1280.54141340554,2581.08282681109,2630.15037459758,759.396611356594,990,999,total_cup_points ~ species_robusta + processing_method_other + processing_method_washed_wet + moisture + aroma + aftertaste + uniformity + sweetness
0.914595539364354,0.913992278794779,0.77063089755463,1516.0870534065,0,7,-1153.21828624372,2324.43657248744,2368.59736549528,588.527132443462,991,999,total_cup_points ~ species_robusta + processing_method_other + moisture + aroma + aftertaste + uniformity + clean_cup
0.858161859786223,0.857447669754935,0.992121491486847,1201.58756380105,0,5,-1406.60875119566,2827.21750239133,2861.56478584187,977.414918492996,993,999,total_cup_points ~ species_robusta + aroma + aftertaste + uniformity + cupper_points
0.90939737250247,0.908757394306221,0.793736837857652,1420.98180505623,0,7,-1182.73118480618,2383.46236961236,2427.6231626202,624.348004262314,991,999,total_cup_points ~ processing_method_other + processing_method_washed_wet + moisture + aroma + aftertaste + sweetness + clean_cup
0.865878831371867,0.865203498196499,0.964754932920554,1282.15059314941,0,5,-1378.66526517444,2771.33053034888,2805.67781379942,924.23681603038,993,999,total_cup_points ~ species_robusta + aroma + aftertaste + sweetness + cupper_points
0.899035025877229,0.898424350630519,0.837476251960237,1472.19824402628,0,6,-1236.82226564354,2489.64453128708,2528.89856951626,695.755540816587,992,999,total_cup_points ~ species_robusta + color_green + aroma + aftertaste + clean_cup + cupper_points
